,provinsi,EYS,MYS,IPM,id,tahun
1,ACEH,14.13,8.98,70.6,32,2017
2,SUMATERA UTARA,13.1,9.25,70.57,24,2017
3,SUMATERA BARAT,13.94,8.72,71.24,26,2017
4,RIAU,13.03,8.76,71.79,19,2017
5,JAMBI,12.87,8.15,69.99,29,2017
6,SUMATERA SELATAN,12.35,7.99,68.86,28,2017
7,BENGKULU,13.57,8.47,69.95,31,2017
8,LAMPUNG,12.46,7.79,68.25,30,2017
9,KEP. BANGKA BELITUNG,11.83,7.78,69.99,25,2017
10,KEPULAUAN RIAU,12.81,9.79,74.45,76,2017
11,DKI JAKARTA,12.86,11.02,80.06,14,2017
12,JAWA BARAT,12.42,8.14,70.69,15,2017
13,JAWA TENGAH,12.57,7.27,70.52,6,2017
14,D I YOGYAKARTA,15.42,9.19,78.89,5,2017
15,JAWA TIMUR,13.09,7.34,70.27,8,2017
16,BANTEN,12.78,8.53,71.42,7,2017
17,BALI,13.21,8.55,74.3,18,2017
18,NUSA TENGGARA BARAT,13.46,6.9,66.58,2,2017
19,NUSA TENGGARA TIMUR,13.07,7.15,63.73,17,2017
20,KALIMANTAN BARAT,12.5,7.05,66.26,12,2017
21,KALIMANTAN TENGAH,12.45,8.29,69.79,27,2017
22,KALIMANTAN SELATAN,12.46,7.99,69.65,11,2017
23,KALIMANTAN TIMUR,13.49,9.36,75.12,21,2017
25,SULAWESI UTARA,12.66,9.14,71.66,22,2017
26,SULAWESI TENGAH,13.04,8.29,68.11,20,2017
27,SULAWESI SELATAN,13.28,7.95,70.34,13,2017
28,SULAWESI TENGGARA,13.36,8.46,69.86,4,2017
29,GORONTALO,13.01,7.28,67.01,3,2017
30,SULAWESI BARAT,12.48,7.31,64.3,77,2017
31,MALUKU,13.91,9.38,68.19,10,2017
32,MALUKU UTARA,13.56,8.61,67.2,9,2017
33,PAPUA BARAT,12.47,7.15,62.99,23,2017
34,PAPUA,10.54,6.27,59.09,16,2017
35,ACEH,13.89,8.86,70,32,2016
36,SUMATERA UTARA,13,9.12,70,24,2016
37,SUMATERA BARAT,13.79,8.59,70.73,26,2016
38,RIAU,12.86,8.59,71.2,19,2016
39,JAMBI,12.72,8.07,69.62,29,2016
40,SUMATERA SELATAN,12.23,7.83,68.24,28,2016
41,BENGKULU,13.38,8.37,69.33,31,2016
42,LAMPUNG,12.35,7.63,67.65,30,2016
43,KEP. BANGKA BELITUNG,11.71,7.62,69.55,25,2016
44,KEPULAUAN RIAU,12.66,9.67,73.99,76,2016
45,DKI JAKARTA,12.73,10.88,79.6,14,2016
46,JAWA BARAT,12.3,7.95,70.05,15,2016
47,JAWA TENGAH,12.45,7.15,69.98,6,2016
48,D I YOGYAKARTA,15.23,9.12,78.38,5,2016
49,JAWA TIMUR,12.98,7.23,69.74,8,2016
50,BANTEN,12.7,8.37,70.96,7,2016
51,BALI,13.04,8.36,73.65,18,2016
52,NUSA TENGGARA BARAT,13.16,6.79,65.81,2,2016
53,NUSA TENGGARA TIMUR,12.97,7.02,63.13,17,2016
54,KALIMANTAN BARAT,12.37,6.98,65.88,12,2016
55,KALIMANTAN TENGAH,12.33,8.13,69.13,27,2016
56,KALIMANTAN SELATAN,12.29,7.89,69.05,11,2016
57,KALIMANTAN TIMUR,13.35,9.24,74.59,21,2016
58,SULAWESI UTARA,12.55,8.96,71.05,22,2016
59,SULAWESI TENGAH,12.92,8.12,67.47,20,2016
60,SULAWESI SELATAN,13.16,7.75,69.76,13,2016
61,SULAWESI TENGGARA,13.24,8.32,69.31,4,2016
62,GORONTALO,12.88,7.12,66.29,3,2016
63,SULAWESI BARAT,12.34,7.14,63.6,77,2016
64,MALUKU,13.73,9.27,67.6,10,2016
65,MALUKU UTARA,13.45,8.52,66.63,9,2016
66,PAPUA BARAT,12.26,7.06,62.21,23,2016
67,PAPUA,10.23,6.15,58.05,16,2016
68,ACEH,13.73,8.77,69.45,32,2015
69,SUMATERA UTARA,12.82,9.03,69.51,24,2015
70,SUMATERA BARAT,13.6,8.42,69.98,26,2015
71,RIAU,12.74,8.49,70.84,19,2015
72,JAMBI,12.57,7.96,68.89,29,2015
73,SUMATERA SELATAN,12.02,7.77,67.46,28,2015
74,BENGKULU,13.18,8.29,68.59,31,2015
75,LAMPUNG,12.25,7.56,66.95,30,2015
76,KEP. BANGKA BELITUNG,11.6,7.46,69.05,25,2015
77,KEPULAUAN RIAU,12.6,9.65,73.75,76,2015
78,DKI JAKARTA,12.59,10.7,78.99,14,2015
79,JAWA BARAT,12.15,7.86,69.5,15,2015
80,JAWA TENGAH,12.38,7.03,69.49,6,2015
81,D I YOGYAKARTA,15.03,9,77.59,5,2015
82,JAWA TIMUR,12.66,7.14,68.95,8,2015
83,BANTEN,12.35,8.27,70.27,7,2015
84,BALI,12.97,8.26,73.27,18,2015
85,NUSA TENGGARA BARAT,13.04,6.71,65.19,2,2015
86,NUSA TENGGARA TIMUR,12.84,6.93,62.67,17,2015
87,KALIMANTAN BARAT,12.25,6.93,65.59,12,2015
88,KALIMANTAN TENGAH,12.22,8.03,68.53,27,2015
89,KALIMANTAN SELATAN,12.21,7.76,68.38,11,2015
90,KALIMANTAN TIMUR,13.18,9.15,74.17,21,2015
91,SULAWESI UTARA,12.43,8.88,70.39,22,2015
92,SULAWESI TENGAH,12.72,7.97,66.76,20,2015
93,SULAWESI SELATAN,12.99,7.64,69.15,13,2015
94,SULAWESI TENGGARA,13.07,8.18,68.75,4,2015
95,GORONTALO,12.7,7.05,65.86,3,2015
96,SULAWESI BARAT,12.22,6.94,62.96,77,2015
97,MALUKU,13.56,9.16,67.05,10,2015
98,MALUKU UTARA,13.1,8.37,65.91,9,2015
99,PAPUA BARAT,12.06,7.01,61.73,23,2015
100,PAPUA,9.95,5.99,57.25,16,2015
101,ACEH,13.53,8.71,68.81,32,2014
102,SUMATERA UTARA,12.61,8.93,68.87,24,2014
103,SUMATERA BARAT,13.48,8.29,69.36,26,2014
104,RIAU,12.45,8.47,70.33,19,2014
105,JAMBI,12.38,7.92,68.24,29,2014
106,SUMATERA SELATAN,11.75,7.66,66.75,28,2014
107,BENGKULU,13.01,8.28,68.06,31,2014
108,LAMPUNG,12.24,7.48,66.42,30,2014
109,KEP. BANGKA BELITUNG,11.18,7.35,68.27,25,2014
110,KEPULAUAN RIAU,12.51,9.64,73.4,76,2014
111,DKI JAKARTA,12.38,10.54,78.39,14,2014
112,JAWA BARAT,12.08,7.71,68.8,15,2014
113,JAWA TENGAH,12.17,6.93,68.78,6,2014
114,D I YOGYAKARTA,14.85,8.84,76.81,5,2014
115,JAWA TIMUR,12.45,7.05,68.14,8,2014
116,BANTEN,12.31,8.19,69.89,7,2014
117,BALI,12.64,8.11,72.48,18,2014
118,NUSA TENGGARA BARAT,12.73,6.67,64.31,2,2014
119,NUSA TENGGARA TIMUR,12.65,6.85,62.26,17,2014
120,KALIMANTAN BARAT,11.89,6.83,64.89,12,2014
121,KALIMANTAN TENGAH,11.93,7.82,67.77,27,2014
122,KALIMANTAN SELATAN,11.96,7.6,67.63,11,2014
123,KALIMANTAN TIMUR,13.17,9.04,73.82,21,2014
124,SULAWESI UTARA,12.16,8.86,69.96,22,2014
125,SULAWESI TENGAH,12.71,7.89,66.43,20,2014
126,SULAWESI SELATAN,12.9,7.49,68.49,13,2014
127,SULAWESI TENGGARA,12.78,8.02,68.07,4,2014
128,GORONTALO,12.49,6.97,65.17,3,2014
129,SULAWESI BARAT,11.78,6.88,62.24,77,2014
130,MALUKU,13.53,9.15,66.74,10,2014
131,MALUKU UTARA,12.72,8.34,65.18,9,2014
132,PAPUA BARAT,11.87,6.96,61.28,23,2014
133,PAPUA,9.94,5.76,56.75,16,2014
134,ACEH,13.36,8.44,68.3,32,2013
135,SUMATERA UTARA,12.41,8.79,68.36,24,2013
136,SUMATERA BARAT,13.16,8.28,68.91,26,2013
137,RIAU,12.27,8.38,69.91,19,2013
138,JAMBI,12.17,7.8,67.76,29,2013
139,SUMATERA SELATAN,11.46,7.53,66.16,28,2013
140,BENGKULU,12.78,8.09,67.5,31,2013
141,LAMPUNG,11.9,7.32,65.73,30,2013
142,KEP. BANGKA BELITUNG,10.96,7.32,67.92,25,2013
143,KEPULAUAN RIAU,12.26,9.63,73.02,76,2013
144,DKI JAKARTA,12.24,10.47,78.08,14,2013
145,JAWA BARAT,11.81,7.58,68.25,15,2013
146,JAWA TENGAH,11.89,6.8,68.02,6,2013
147,D I YOGYAKARTA,14.67,8.72,76.44,5,2013
148,JAWA TIMUR,12.17,6.9,67.55,8,2013
149,BANTEN,12.05,8.17,69.47,7,2013
150,BALI,12.4,8.1,72.09,18,2013
151,NUSA TENGGARA BARAT,12.46,6.54,63.76,2,2013
152,NUSA TENGGARA TIMUR,12.27,6.76,61.68,17,2013
153,KALIMANTAN BARAT,11.6,6.69,64.3,12,2013
154,KALIMANTAN TENGAH,11.71,7.79,67.41,27,2013
155,KALIMANTAN SELATAN,11.67,7.59,67.17,11,2013
156,KALIMANTAN TIMUR,12.85,8.87,73.21,21,2013
157,SULAWESI UTARA,11.88,8.79,69.49,22,2013
158,SULAWESI TENGAH,12.36,7.82,65.79,20,2013
159,SULAWESI SELATAN,12.52,7.45,67.92,13,2013
160,SULAWESI TENGGARA,12.45,7.93,67.55,4,2013
161,GORONTALO,12.13,6.96,64.7,3,2013
162,SULAWESI BARAT,11.46,6.87,61.53,77,2013
163,MALUKU,13.35,8.81,66.09,10,2013
164,MALUKU UTARA,12.48,8.27,64.78,9,2013
165,PAPUA BARAT,11.67,6.91,60.91,23,2013
166,PAPUA,9.58,5.74,56.25,16,2013
167,ACEH,13.19,8.36,67.81,32,2012
