Provinsi,2015,2016
ACEH,36.82,39.85
SUMATERA UTARA,44.62,51.11
SUMATERA BARAT,56.34,59.36
RIAU,52.28,56.25
JAMBI,50.53,53.48
SUMATERA SELATAN,44,49.45
BENGKULU,48.48,49.91
LAMPUNG,33.68,45.06
KEP. BANGKA BELITUNG,49.14,55.88
KEP. RIAU,68.63,76.6
DKI JAKARTA,80.01,82.53
JAWA BARAT,55.72,61.81
JAWA TENGAH,55.99,63.63
DI YOGYAKARTA,83.22,85.43
JAWA TIMUR,54.42,61.52
BANTEN,51.61,59.38
BALI,66.63,76.42
NUSA TENGGARA BARAT,36.83,46.63
NUSA TENGGARA TIMUR,22.49,29.12
KALIMANTAN BARAT,37.03,44.6
KALIMANTAN TENGAH,45.34,51.69
KALIMANTAN SELATAN,56.49,62.79
KALIMANTAN TIMUR,64.3,73.12
KALIMANTAN UTARA,53.85,63.36
SULAWESI UTARA,54.87,62.27
SULAWESI TENGAH,38.71,44.35
SULAWESI SELATAN,51.51,55.01
SULAWESI TENGGARA,42.3,49.68
GORONTALO,44.84,52.85
SULAWESI BARAT,32.38,39.58
MALUKU,38.64,42.98
MALUKU UTARA,27.15,30.15
PAPUA BARAT,37.47,39.4
PAPUA,17.03,23.09
